Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
84,Michael Carrick,eng ENG,MF,West Ham,18,1981,8,4,457,5.1,1,2,3,1,0,0,0,0,0.20,0.39,0.59,0.20,0.59,Matches
85,Alec Chamberlain,eng ENG,GK,Watford,35,1964,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Gary Charles,eng ENG,DF,West Ham,29,1970,4,2,192,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Laurent Charvet,fr FRA,DF,Newcastle Utd,26,1973,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Youssef Chippo,ma MAR,MF,Coventry City,26,1973,33,33,2783,30.9,2,3,5,2,0,0,9,1,0.06,0.10,0.16,0.06,0.16,Matches
89,Malcolm Christie,eng ENG,FW,Derby County,20,1979,21,10,1175,13.1,5,2,7,5,0,0,2,0,0.38,0.15,0.54,0.38,0.54,Matches
90,Matt Clarke,eng ENG,GK,Bradford City,25,1973,21,21,1874,20.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Michael Clegg,eng ENG,DF,Manchester Utd,22,1977,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Alec Cleland,sct SCO,DF,Everton,28,1970,9,3,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Stephen Clemence,eng ENG,MF,Tottenham,21,1978,20,16,1520,16.9,1,1,2,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches
94,Andy Cole,eng ENG,FW,Manchester Utd,27,1971,28,23,1990,22.1,19,4,23,19,0,0,4,1,0.86,0.18,1.04,0.86,1.04,Matches
95,Ashley Cole,eng ENG,DF,Arsenal,18,1980,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Joe Cole,eng ENG,MF,West Ham,17,1981,22,17,1535,17.1,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches
